name;unvan;ana_bilim_dali;uzmanlik_alani;toplam_makale;sci_ssci;kitap_sayisi
MUSTAFA ALPER AKKAŞ;Profesör;BİLGİSAYAR YAZILIMI;"Elektrik-Elektronik ve Haberleşme Mühendisliği | Haberleşme ; Nesnelerin İnterneti ; Bilgisayar Ağları | Haberleşme | Nesnelerin İnterneti | Bilgisayar Ağları 05097936455F44BD | Mühendislik Temel Alanı";42;2;1
MUSTAFA YAĞCI;Profesör;BİLGİSAYAR YAZILIMI;Bilgisayar ve Öğretim Teknolojileri Eğitimi Bilgisayar ve Öğretim Teknolojileri Eğitimi | Eğitim Bilimleri Temel Alanı | Bilgisayar ve Öğretim Teknolojileri Eğitimi;34;2;6
ALPER BİLGE;Profesör;BİLGİSAYAR DONANIMI;"Bilgisayar Bilimleri ve Mühendisliği | Bilgi Sistemleri ; Yapay Zeka ; Veri Madenciliği | Bilgi Sistemleri | Yapay Zeka | Veri Madenciliği | Mühendislik Temel Alanı";33;4;5
MELİH GÜNAY;Profesör;BİLGİSAYAR YAZILIMI;"Bilgisayar Bilimleri ve Mühendisliği | Bilgisayar Yazılımı ve Yazılım Mühendisliği ; Veri Madenciliği ; Paralel ve Dağıtık Sistemler | Bilgisayar Yazılımı ve Yazılım Mühendisliği | Veri Madenciliği | Paralel ve Dağıtık Sistemler | Mühendislik Temel Alanı";24;3;11
ÜMİT DENİZ ULUŞAR;Profesör;BİLGİSAYAR DONANIMI;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Görüntü İşleme ; Bilgisayar Yazılımı ve Yazılım Mühendisliği | Yapay Zeka | Görüntü İşleme | Bilgisayar Yazılımı ve Yazılım Mühendisliği | Mühendislik Temel Alanı";12;4;4
SELÇUK KAVUT;Profesör;BİLGİSAYAR YAZILIMI;Bilgisayar Bilimleri ve Mühendisliği | Bilgi Güvenliği ve Kriptoloji | Mühendislik Temel Alanı;22;8;0
AYHAN İSTANBULLU;Profesör;BİLGİSAYAR DONANIMI;Bilgisayar Bilimleri ve Mühendisliği | Bilgisayar Sistem Yapısı ve Donanımı | Mühendislik Temel Alanı;23;1;4
UĞUR YÜZGEÇ;Profesör;BİLGİSAYAR YAZILIMI;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Gömülü Sistemler ; Makine Öğrenmesi | Yapay Zeka | Gömülü Sistemler | Makine Öğrenmesi | Mühendislik Temel Alanı";76;5;0
CİHAN KARAKUZU;Profesör;BİLGİSAYAR BİLİMLERİ;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Makine Öğrenmesi ; Bulanık Mantık | Yapay Zeka | Makine Öğrenmesi | Bulanık Mantık | Mühendislik Temel Alanı";46;3;1
MEHMET BAKIR;Profesör;BİLGİSAYAR DONANIMI;"Elektrik-Elektronik ve Haberleşme Mühendisliği | Elektromanyetik- Mikrodalga ve Anten Teknolojileri ; Makine Öğrenmesi ; Bilgisayarla Görme | Elektromanyetik | Mikrodalga ve Anten Teknolojileri | Makine Öğrenmesi | Bilgisayarla Görme | Mühendislik Temel Alanı";61;20;1
MEHMET FATİH AKAY;Profesör;BİLGİSAYAR DONANIMI;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Makine Öğrenmesi | Yapay Zeka | Makine Öğrenmesi | Mühendislik Temel Alanı";37;0;1
UMUT ORHAN;Profesör;BİLGİSAYAR BİLİMLERİ;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Dil İşleyiciler | Yapay Zeka | Dil İşleyiciler CF87D4CAA7B883C8 | Mühendislik Temel Alanı";25;2;0
SELMA AYŞE ÖZEL;Profesör;BİLGİSAYAR BİLİMLERİ;"Bilgisayar Bilimleri ve Mühendisliği | Veri Madenciliği ; Veri Tabanı ; Makine Öğrenmesi | Veri Madenciliği | Veri Tabanı | Makine Öğrenmesi | Mühendislik Temel Alanı";53;4;4
